Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
5/14/1990,-0.394670804,-0.253768824,-0.17605254,-0.260550878,0.459997823,-0.363765846,-0.018475682
5/15/1990,-0.393155125,-0.246186684,-0.171948588,-0.259200486,0.457251173,-0.359513985,-0.013640679
5/16/1990,-0.390511642,-0.247740697,-0.17340887,-0.253747029,0.46292134,-0.358913985,-0.009978471
5/17/1990,-0.384725718,-0.248703087,-0.1724266,-0.253307231,0.46126761,-0.357099656,-0.008627061
5/18/1990,-0.382781048,-0.247576281,-0.166400105,-0.253200317,0.462591866,-0.348040391,-0.0015463
5/21/1990,-0.376599868,-0.247296767,-0.163551898,-0.258919856,0.472250231,-0.348644485,-0.00248981
5/22/1990,-0.362963091,-0.238067014,-0.156504231,-0.239883196,0.469268545,-0.357729791,-0.012640679
5/23/1990,-0.366343454,-0.237066637,-0.153389683,-0.246910335,0.444091302,-0.363231091,-0.017075682
5/24/1990,-0.358523115,-0.234870113,-0.150167625,-0.244047622,0.455831399,-0.363855831,-0.014555495
5/25/1990,-0.365182075,-0.237522406,-0.149038428,-0.250510473,0.451989161,-0.354713985,-0.007427061
5/29/1990,-0.366582549,-0.248466046,-0.153811374,-0.25869652,0.457133573,-0.354113985,-0.010685277
5/30/1990,-0.355278723,-0.231692058,-0.14874627,-0.235938753,0.449613325,-0.357165846,-0.015114915
5/31/1990,-0.358194204,-0.23130997,-0.146196613,-0.241519268,0.443829352,-0.354129791,-0.017237797
6/1/1990,-0.355661058,-0.230402052,-0.145133948,-0.230099567,0.441878278,-0.373186443,-0.035817691
6/4/1990,-0.348805031,-0.22535648,-0.140708861,-0.229565738,0.429525767,-0.371346518,-0.035617691
6/5/1990,-0.339642543,-0.213948844,-0.135602501,-0.216740079,0.426713904,-0.368271269,-0.031869491
6/6/1990,-0.348109401,-0.216219519,-0.13824956,-0.226909268,0.431848322,-0.367671269,-0.032850826
6/7/1990,-0.343243668,-0.218385234,-0.140490007,-0.225127634,0.413176022,-0.369546518,-0.032650826
6/8/1990,-0.349356974,-0.226184044,-0.141378708,-0.232772243,0.413866331,-0.368946518,-0.032450826
6/11/1990,-0.357678723,-0.238685762,-0.146815614,-0.24710962,0.416672362,-0.365871269,-0.02988955
6/12/1990,-0.346507938,-0.230778396,-0.146168906,-0.233900421,0.420030731,-0.365271269,-0.02968955
6/13/1990,-0.341014591,-0.21828384,-0.140925114,-0.220704434,0.411268057,-0.373361578,-0.038968294
6/14/1990,-0.340459172,-0.222176673,-0.136296996,-0.223535381,0.393104059,-0.375258458,-0.041152086
6/15/1990,-0.342899125,-0.227900201,-0.138002501,-0.229517566,0.393668862,-0.368427909,-0.031450826
6/18/1990,-0.345558324,-0.228045119,-0.136721445,-0.224982736,0.398971922,-0.360402132,-0.026533837
6/19/1990,-0.358608414,-0.245000395,-0.149800219,-0.240798206,0.397094748,-0.354882073,-0.025158057
6/20/1990,-0.354135109,-0.240755023,-0.152236091,-0.234675418,0.392768862,-0.353055831,-0.020268717
6/21/1990,-0.358121575,-0.239199082,-0.15348676,-0.235744936,0.400933154,-0.35490982,-0.023583659
6/22/1990,-0.353221078,-0.235452597,-0.152420385,-0.232887823,0.398774285,-0.356769846,-0.024558057
6/25/1990,-0.361331936,-0.249899775,-0.155336021,-0.244925614,0.404325176,-0.347586102,-0.016166087
6/26/1990,-0.364904547,-0.258860127,-0.160828017,-0.247470428,0.408851303,-0.346986102,-0.01829981
6/27/1990,-0.372442254,-0.25979839,-0.162624979,-0.259498012,0.40058993,-0.35250982,-0.022783659
6/28/1990,-0.363757848,-0.251231597,-0.160770064,-0.247118205,0.402001283,-0.360546518,-0.028469491
6/29/1990,-0.358185048,-0.244473064,-0.154157934,-0.243545434,0.405966894,-0.362427909,-0.033003228
7/2/1990,-0.357401272,-0.24361118,-0.150191507,-0.242554365,0.418915855,-0.360586443,-0.032803228
7/3/1990,-0.358568186,-0.239574538,-0.151201285,-0.23481922,0.419455603,-0.366209239,-0.036168294
7/5/1990,-0.361473511,-0.238051612,-0.151856366,-0.236823776,0.423204474,-0.364361578,-0.033590172
7/6/1990,-0.364603572,-0.250740429,-0.157676528,-0.247325614,0.427075781,-0.34890982,-0.022758057
7/9/1990,-0.359251435,-0.243294481,-0.15684627,-0.234866311,0.425526215,-0.342186102,-0.015532267
7/10/1990,-0.358251596,-0.240430222,-0.15762202,-0.234059989,0.418675212,-0.339147077,-0.015332267
7/11/1990,-0.361587144,-0.249093839,-0.160542641,-0.237596503,0.407549096,-0.342207849,-0.015132267
7/12/1990,-0.352377684,-0.236085095,-0.154955869,-0.226534113,0.405834469,-0.366361589,-0.023133837
7/13/1990,-0.346886758,-0.224670496,-0.150760179,-0.212935364,0.422100901,-0.377103865,-0.028833559
7/16/1990,-0.344837069,-0.219793827,-0.147348696,-0.209169001,0.431224474,-0.376503865,-0.029817691
7/17/1990,-0.343431701,-0.215538834,-0.147825114,-0.203771244,0.427608638,-0.377172096,-0.029617691
7/18/1990,-0.357241048,-0.219622291,-0.15485239,-0.209685368,0.423981771,-0.377841938,-0.022333837
